species	genus	model	trait_category	marine_binary	binary_aquatic_endpoint	aquaticity_score	held_out_genus	corrected_globalFDR_OOF_prediction	nested_ttest_OOF_prediction	prediction_delta	nested_OOF_available	exclusion_reason	fold_n_candidate_features_FDR	fold_n_features_after_preprocessing	fold_n_selected_predictors	fold_model_status	panel	plot_color	source_file
Trachypithecus_francoisi	Trachypithecus	binary_aquatic_dependence_nested_ttest_baseline	terrestrial	0	0	0	Trachypithecus	0.00138438081524923	0.00264841511793149	0.00126403430268226	TRUE		1238	1238	103	fit_nonzero_predictors	Binary aquatic-dependence model	#bdbdbd	${ENDPOINT_FIX_ROOT}/10_reviewer_risk_controls/12B_nested_ttest_baseline_robustness/nested_ttest_baseline/nested_ttest_OOF_predictions.tsv
Tragelaphus_strepsiceros	Tragelaphus	binary_aquatic_dependence_nested_ttest_baseline	terrestrial	0	0	0	Tragelaphus	0.115163590979913	0.116290912117371	0.00112732113745753	TRUE		1222	1222	96	fit_nonzero_predictors	Binary aquatic-dependence model	#bdbdbd	${ENDPOINT_FIX_ROOT}/10_reviewer_risk_controls/12B_nested_ttest_baseline_robustness/nested_ttest_baseline/nested_ttest_OOF_predictions.tsv
Tragulus_javanicus	Tragulus	binary_aquatic_dependence_nested_ttest_baseline	terrestrial	0	0	0	Tragulus	0.0947962212773769	0.127591388058639	0.0327951667812619	TRUE		1245	1245	69	fit_nonzero_predictors	Binary aquatic-dependence model	#bdbdbd	${ENDPOINT_FIX_ROOT}/10_reviewer_risk_controls/12B_nested_ttest_baseline_robustness/nested_ttest_baseline/nested_ttest_OOF_predictions.tsv
Tragulus_kanchil	Tragulus	binary_aquatic_dependence_nested_ttest_baseline	terrestrial	0	0	0	Tragulus	7.37476205478075e-05	0.000603597473454592	0.000529849852906785	TRUE		1245	1245	69	fit_nonzero_predictors	Binary aquatic-dependence model	#bdbdbd	${ENDPOINT_FIX_ROOT}/10_reviewer_risk_controls/12B_nested_ttest_baseline_robustness/nested_ttest_baseline/nested_ttest_OOF_predictions.tsv
Trichechus_manatus_latirostris	Trichechus	binary_aquatic_dependence_nested_ttest_baseline	marine	1	1	18	Trichechus	0.166598614159324	0.151010757202482	-0.015587856956842	TRUE		1253	1253	75	fit_nonzero_predictors	Binary aquatic-dependence model	#2c7fb8	${ENDPOINT_FIX_ROOT}/10_reviewer_risk_controls/12B_nested_ttest_baseline_robustness/nested_ttest_baseline/nested_ttest_OOF_predictions.tsv
Tupaia_chinensis	Tupaia	binary_aquatic_dependence_nested_ttest_baseline	terrestrial	0	0	0	Tupaia	0.0280988705676382	0.064811569340375	0.0367126987727368	TRUE		1222	1222	86	fit_nonzero_predictors	Binary aquatic-dependence model	#bdbdbd	${ENDPOINT_FIX_ROOT}/10_reviewer_risk_controls/12B_nested_ttest_baseline_robustness/nested_ttest_baseline/nested_ttest_OOF_predictions.tsv
Tursiops_aduncus	Tursiops	binary_aquatic_dependence_nested_ttest_baseline	marine	1	1	18	Tursiops	0.894578654213828	0.882962612672178	-0.0116160415416495	TRUE		1163	1163	70	fit_nonzero_predictors	Binary aquatic-dependence model	#2c7fb8	${ENDPOINT_FIX_ROOT}/10_reviewer_risk_controls/12B_nested_ttest_baseline_robustness/nested_ttest_baseline/nested_ttest_OOF_predictions.tsv
Tursiops_truncatus	Tursiops	binary_aquatic_dependence_nested_ttest_baseline	marine	1	1	18	Tursiops	0.631504674072122	0.652629392748046	0.0211247186759239	TRUE		1163	1163	70	fit_nonzero_predictors	Binary aquatic-dependence model	#2c7fb8	${ENDPOINT_FIX_ROOT}/10_reviewer_risk_controls/12B_nested_ttest_baseline_robustness/nested_ttest_baseline/nested_ttest_OOF_predictions.tsv
Urocitellus_parryii	Urocitellus	binary_aquatic_dependence_nested_ttest_baseline	terrestrial	0	0	0	Urocitellus	3.64670484836916e-05	0.00204888579246996	0.00201241874398626	TRUE		1225	1225	87	fit_nonzero_predictors	Binary aquatic-dependence model	#bdbdbd	${ENDPOINT_FIX_ROOT}/10_reviewer_risk_controls/12B_nested_ttest_baseline_robustness/nested_ttest_baseline/nested_ttest_OOF_predictions.tsv
Uromys_caudimaculatus	Uromys	binary_aquatic_dependence_nested_ttest_baseline	terrestrial	0	0	0	Uromys	0.0264184641221173	0.0500834110252522	0.0236649469031349	TRUE		1215	1215	65	fit_nonzero_predictors	Binary aquatic-dependence model	#bdbdbd	${ENDPOINT_FIX_ROOT}/10_reviewer_risk_controls/12B_nested_ttest_baseline_robustness/nested_ttest_baseline/nested_ttest_OOF_predictions.tsv
Ursus_americanus	Ursus	binary_aquatic_dependence_nested_ttest_baseline	terrestrial	0	0	0	Ursus	0.0802511509097447	0.0613390953091631	-0.0189120556005816	TRUE		1264	1264	107	fit_nonzero_predictors	Binary aquatic-dependence model	#bdbdbd	${ENDPOINT_FIX_ROOT}/10_reviewer_risk_controls/12B_nested_ttest_baseline_robustness/nested_ttest_baseline/nested_ttest_OOF_predictions.tsv
Ursus_arctos_horribilis	Ursus	binary_aquatic_dependence_nested_ttest_baseline	terrestrial	0	0	0	Ursus	0.145899145150892	0.281457437021909	0.135558291871017	TRUE		1264	1264	107	fit_nonzero_predictors	Binary aquatic-dependence model	#bdbdbd	${ENDPOINT_FIX_ROOT}/10_reviewer_risk_controls/12B_nested_ttest_baseline_robustness/nested_ttest_baseline/nested_ttest_OOF_predictions.tsv
