"target_name","display_label","branch_id","model","gene","gene_order","module","predictor_class","coefficient","scaled_GBI","contribution","abs_contribution","top_abs_rank","top_set"
"Odontoceti","Odontoceti","B591","binary_aquatic_dependence","LRP2",98,"Transport / endocytic / epithelial solute handling","aquatic_specific",0.471378525654808,-1.90251226232833,-0.896803425256523,0.896803425256523,3,"top_absolute"
"Odontoceti","Odontoceti","B591","binary_aquatic_dependence","NWD1",97,"Developmental / transcriptional signaling regulators","aquatic_specific",0.404558879261438,2.13134197001468,0.862253318712004,0.862253318712004,4,"top_absolute"
"Odontoceti","Odontoceti","B591","binary_aquatic_dependence","ATF7IP2",1,"DNA repair / chromatin / cell-cycle","aquatic_specific",-0.581769927151342,-1.26332913940761,0.73496690140133,0.73496690140133,5,"top_absolute"
"Odontoceti","Odontoceti","B591","binary_aquatic_dependence","NLRP8",11,"Immune / inflammatory regulation","aquatic_specific",-0.249357601464042,2.52224184057161,-0.628940175677187,0.628940175677187,6,"top_absolute"
"Odontoceti","Odontoceti","B591","binary_aquatic_dependence","PUSL1",6,"Metabolism / redox / lipid handling","shared",-0.314220898750119,-1.658852287477,0.521246056664714,0.521246056664714,7,"top_absolute"
"Odontoceti","Odontoceti","B591","binary_aquatic_dependence","ACADSB",14,"Metabolism / redox / lipid handling","aquatic_specific",-0.238865076823398,-1.85410187467603,0.442880186732896,0.442880186732896,8,"top_absolute"
"Odontoceti","Odontoceti","B591","binary_aquatic_dependence","IL33",94,"Immune / inflammatory regulation","shared",0.340038935001018,-1.25231167496481,-0.425834728244375,0.425834728244375,9,"top_absolute"
"Odontoceti","Odontoceti","B591","binary_aquatic_dependence","SLC6A15",16,"Transport / endocytic / epithelial solute handling","aquatic_specific",-0.23289351110375,-1.75837801236207,0.409514829146635,0.409514829146635,10,"top_absolute"
"Odontoceti","Odontoceti","B591","binary_aquatic_dependence","CACNA1G",99,"Ion channels / mechanosensation / membrane signaling","aquatic_specific",0.593854706123962,0.662593404378638,0.393484211436952,0.393484211436952,11,"top_absolute"
"Odontoceti","Odontoceti","B591","binary_aquatic_dependence","SYTL5",93,"Membrane trafficking / ER / vesicle processing","aquatic_specific",0.265993756746688,-1.47902884264825,-0.393412438192713,0.393412438192713,12,"top_absolute"
"Odontoceti","Odontoceti","B591","marine","KRT17",57,"Epithelial / body-surface interface","marine_specific",0.189861649168978,8.01156136287436,1.52108825277379,1.52108825277379,1,"top_absolute"
"Odontoceti","Odontoceti","B591","marine","IL36G",56,"Immune / inflammatory regulation","marine_specific",0.166019839478868,7.4991103527243,1.24500109699361,1.24500109699361,2,"top_absolute"
"Odontoceti","Odontoceti","B591","marine","TGM3",71,"Epithelial / body-surface interface","shared",0.691315381170856,1.75873690516497,1.21584187397337,1.21584187397337,3,"top_absolute"
"Odontoceti","Odontoceti","B591","marine","TPX2",2,"DNA repair / chromatin / cell-cycle","marine_specific",-0.547364151458345,-1.48197132846654,0.811177978691681,0.811177978691681,4,"top_absolute"
"Odontoceti","Odontoceti","B591","marine","KRTDAP",66,"Epithelial / body-surface interface","shared",0.386565925079529,2.00567549029258,0.775325801314288,0.775325801314288,5,"top_absolute"
"Odontoceti","Odontoceti","B591","marine","NKPD1",58,"Unassigned / low-confidence","marine_specific",0.230941713295598,3.30013257701517,0.762138271438499,0.762138271438499,6,"top_absolute"
"Odontoceti","Odontoceti","B591","marine","WDR93",8,"Cilia / flagella / reproductive-cell function","shared",-0.242927446164409,2.8334785110413,-0.688329698448994,0.688329698448994,7,"top_absolute"
"Odontoceti","Odontoceti","B591","marine","MYH13",70,"Cytoskeletal / muscle / ECM / adhesion","marine_specific",0.480299625271563,1.03466291707707,0.496948211354498,0.496948211354498,8,"top_absolute"
"Odontoceti","Odontoceti","B591","marine","PUSL1",5,"Metabolism / redox / lipid handling","shared",-0.270477624990477,-1.67083747087067,0.451924150866194,0.451924150866194,9,"top_absolute"
"Odontoceti","Odontoceti","B591","marine","SDR9C7",68,"Epithelial / body-surface interface","shared",0.409389888665918,1.09746070982389,0.449289317810024,0.449289317810024,10,"top_absolute"
"Odontoceti","Odontoceti","B591","marine","ASMTL",10,"Endocrine / circadian / systemic regulation","shared",-0.225475311673798,1.89932613666417,-0.428251152634545,0.428251152634545,11,"top_absolute"
"Odontoceti","Odontoceti","B591","marine","KCNK18",69,"Ion channels / mechanosensation / membrane signaling","shared",0.43928773003255,-0.960759357598265,-0.422049797306872,0.422049797306872,12,"top_absolute"
"Otariidae","Otariidae","B393","binary_aquatic_dependence","PER1",100,"Endocrine / circadian / systemic regulation","aquatic_specific",0.784004329488712,1.19354907415823,0.935747641597296,0.935747641597296,1,"top_absolute"
"Otariidae","Otariidae","B393","binary_aquatic_dependence","ACADSB",14,"Metabolism / redox / lipid handling","aquatic_specific",-0.238865076823398,3.02406705652264,-0.722344009775387,0.722344009775387,2,"top_absolute"
"Otariidae","Otariidae","B393","binary_aquatic_dependence","SDR9C7",91,"Epithelial / body-surface interface","shared",0.220181989308241,2.50011832341195,0.550481025954827,0.550481025954827,3,"top_absolute"
"Otariidae","Otariidae","B393","binary_aquatic_dependence","SLC6A15",16,"Transport / endocytic / epithelial solute handling","aquatic_specific",-0.23289351110375,2.22530909925717,-0.518260049417126,0.518260049417126,4,"top_absolute"
"Otariidae","Otariidae","B393","binary_aquatic_dependence","TGM3",101,"Epithelial / body-surface interface","shared",1.04080869919882,-0.452983284835164,-0.471468943448094,0.471468943448094,5,"top_absolute"
"Otariidae","Otariidae","B393","binary_aquatic_dependence","NLRP8",11,"Immune / inflammatory regulation","aquatic_specific",-0.249357601464042,-1.24584100762268,0.310659925466337,0.310659925466337,6,"top_absolute"
"Otariidae","Otariidae","B393","binary_aquatic_dependence","TIGD7",26,"Developmental / transcriptional signaling regulators","aquatic_specific",-0.153350666144971,1.93834609322955,-0.297246664616254,0.297246664616254,7,"top_absolute"
"Otariidae","Otariidae","B393","binary_aquatic_dependence","H1_8",24,"DNA repair / chromatin / cell-cycle","aquatic_specific",-0.160268979059258,1.71922596608087,-0.275538590355948,0.275538590355948,8,"top_absolute"
