"display_label","branch_id","model","gene","gene_order","module","coefficient","scaled_GBI","contribution","abs_contribution","label_rank"
"Dugong + Hydrodamalis","B25","marine","SDR9C7",68,"Epithelial / body-surface interface",0.409389888665918,-0.526229367957119,-0.215432982360701,0.215432982360701,5
"Dugong + Hydrodamalis","B25","marine","APH1B",14,"Membrane trafficking / ER / vesicle processing",-0.152260877432123,1.1544469310121,-0.175777102664723,0.175777102664723,6
"Dugong + Hydrodamalis","B25","marine","HGFAC",3,"Vascular / hematologic regulation",-0.314672853107267,0.53453366461062,-0.168203233324907,0.168203233324907,7
"Lutrinae / Enhydra-related","B380","binary_aquatic_dependence","PER1",100,"Endocrine / circadian / systemic regulation",0.784004329488712,1.23911585952592,0.971472198606451,0.971472198606451,1
"Lutrinae / Enhydra-related","B380","binary_aquatic_dependence","PUSL1",6,"Metabolism / redox / lipid handling",-0.314220898750119,2.44721978996208,-0.768967601840962,0.768967601840962,2
"Lutrinae / Enhydra-related","B380","binary_aquatic_dependence","ATF7IP2",1,"DNA repair / chromatin / cell-cycle",-0.581769927151342,1.31691961767155,-0.766144230036948,0.766144230036948,3
"Lutrinae / Enhydra-related","B380","binary_aquatic_dependence","KIF18A",95,"DNA repair / chromatin / cell-cycle",0.340198342633948,-1.47964940305389,-0.503374274598242,0.503374274598242,4
"Lutrinae / Enhydra-related","B380","binary_aquatic_dependence","ACADSB",14,"Metabolism / redox / lipid handling",-0.238865076823398,-1.85410187467603,0.442880186732896,0.442880186732896,5
"Lutrinae / Enhydra-related","B380","binary_aquatic_dependence","CACNA1G",99,"Ion channels / mechanosensation / membrane signaling",0.593854706123962,-0.736989778825035,-0.437664848520505,0.437664848520505,6
"Lutrinae / Enhydra-related","B380","binary_aquatic_dependence","IL33",94,"Immune / inflammatory regulation",0.340038935001018,-1.25231167496481,-0.425834728244375,0.425834728244375,7
"Lutrinae / Enhydra-related","B380","marine","HIGD1B",62,"Vascular / hematologic regulation",0.328380050132626,2.36106303074782,0.77532599640326,0.77532599640326,1
"Lutrinae / Enhydra-related","B380","marine","PUSL1",5,"Metabolism / redox / lipid handling",-0.270477624990477,2.47049022849186,-0.668212329564657,0.668212329564657,2
"Lutrinae / Enhydra-related","B380","marine","FAM234A",18,"Unassigned / low-confidence",-0.108556846491888,5.98528734085229,-0.649743919070743,0.649743919070743,3
"Lutrinae / Enhydra-related","B380","marine","KCNK18",69,"Ion channels / mechanosensation / membrane signaling",0.43928773003255,-1.21344822905597,-0.533052918054014,0.533052918054014,4
"Lutrinae / Enhydra-related","B380","marine","ALOX12B",54,"Epithelial / body-surface interface",0.149753620737968,3.01865542951177,0.452054580329715,0.452054580329715,5
"Lutrinae / Enhydra-related","B380","marine","ACP4",65,"Cytoskeletal / muscle / ECM / adhesion",0.36185377349003,-1.04945723387968,-0.379750060195771,0.379750060195771,6
"Lutrinae / Enhydra-related","B380","marine","MYH7B",67,"Cytoskeletal / muscle / ECM / adhesion",0.397856553371577,-0.886166488666984,-0.352567144894439,0.352567144894439,7
"Mysticeti","B544","binary_aquatic_dependence","TGM3",101,"Epithelial / body-surface interface",1.04080869919882,3.35629556968149,3.49326162600694,3.49326162600694,1
"Mysticeti","B544","binary_aquatic_dependence","FAM13A",96,"Developmental / transcriptional signaling regulators",0.348973910716795,2.1136166577815,0.737597070822171,0.737597070822171,2
"Mysticeti","B544","binary_aquatic_dependence","SYTL5",93,"Membrane trafficking / ER / vesicle processing",0.265993756746688,1.95213536253981,0.519255818760022,0.519255818760022,3
"Mysticeti","B544","binary_aquatic_dependence","PDGFB",5,"Vascular / hematologic regulation",-0.348561123284862,-1.26540545001707,0.441071145068738,0.441071145068738,4
"Mysticeti","B544","binary_aquatic_dependence","PMIS2",3,"Developmental / transcriptional signaling regulators",-0.39072525213697,-1.11454446072728,0.435480665435529,0.435480665435529,5
"Mysticeti","B544","binary_aquatic_dependence","LRP2",98,"Transport / endocytic / epithelial solute handling",0.471378525654808,-0.871086630920443,-0.410611531800893,0.410611531800893,6
"Mysticeti","B544","binary_aquatic_dependence","PRSS53",89,"Epithelial / body-surface interface",0.194083977905306,1.55501341674412,0.30180318961782,0.30180318961782,7
"Mysticeti","B544","marine","TGM3",71,"Epithelial / body-surface interface",0.691315381170856,3.42737713935613,2.36939853351026,2.36939853351026,1
"Mysticeti","B544","marine","KRTDAP",66,"Epithelial / body-surface interface",0.386565925079529,3.96281146283065,1.53188787904489,1.53188787904489,2
"Mysticeti","B544","marine","MYH13",70,"Cytoskeletal / muscle / ECM / adhesion",0.480299625271563,3.17806330627745,1.52642261509437,1.52642261509437,3
"Mysticeti","B544","marine","KRT17",57,"Epithelial / body-surface interface",0.189861649168978,4.50468499097082,0.855266921372465,0.855266921372465,4
"Mysticeti","B544","marine","HIGD1B",62,"Vascular / hematologic regulation",0.328380050132626,2.11745684216464,0.695330583983698,0.695330583983698,5
"Mysticeti","B544","marine","IL36G",56,"Immune / inflammatory regulation",0.166019839478868,4.17380519819718,0.692934469020761,0.692934469020761,6
"Mysticeti","B544","marine","NKPD1",58,"Unassigned / low-confidence",0.230941713295598,2.95305214558461,0.681982921952551,0.681982921952551,7
"Odontoceti","B591","binary_aquatic_dependence","TGM3",101,"Epithelial / body-surface interface",1.04080869919882,1.71760144498072,1.78769452569239,1.78769452569239,1
"Odontoceti","B591","binary_aquatic_dependence","WDR93",2,"Cilia / flagella / reproductive-cell function",-0.4793197990576,2.79337272873195,-1.33891885502878,1.33891885502878,2
"Odontoceti","B591","binary_aquatic_dependence","LRP2",98,"Transport / endocytic / epithelial solute handling",0.471378525654808,-1.90251226232833,-0.896803425256523,0.896803425256523,3
"Odontoceti","B591","binary_aquatic_dependence","NWD1",97,"Developmental / transcriptional signaling regulators",0.404558879261438,2.13134197001468,0.862253318712004,0.862253318712004,4
"Odontoceti","B591","binary_aquatic_dependence","ATF7IP2",1,"DNA repair / chromatin / cell-cycle",-0.581769927151342,-1.26332913940761,0.73496690140133,0.73496690140133,5
"Odontoceti","B591","binary_aquatic_dependence","NLRP8",11,"Immune / inflammatory regulation",-0.249357601464042,2.52224184057161,-0.628940175677187,0.628940175677187,6
"Odontoceti","B591","binary_aquatic_dependence","PUSL1",6,"Metabolism / redox / lipid handling",-0.314220898750119,-1.658852287477,0.521246056664714,0.521246056664714,7
"Odontoceti","B591","marine","KRT17",57,"Epithelial / body-surface interface",0.189861649168978,8.01156136287436,1.52108825277379,1.52108825277379,1
"Odontoceti","B591","marine","IL36G",56,"Immune / inflammatory regulation",0.166019839478868,7.4991103527243,1.24500109699361,1.24500109699361,2
"Odontoceti","B591","marine","TGM3",71,"Epithelial / body-surface interface",0.691315381170856,1.75873690516497,1.21584187397337,1.21584187397337,3
"Odontoceti","B591","marine","TPX2",2,"DNA repair / chromatin / cell-cycle",-0.547364151458345,-1.48197132846654,0.811177978691681,0.811177978691681,4
"Odontoceti","B591","marine","KRTDAP",66,"Epithelial / body-surface interface",0.386565925079529,2.00567549029258,0.775325801314288,0.775325801314288,5
