Package	Version	LibPath	Priority
ggforce	0.5.0	/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library	NA
ggfun	0.2.0	/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library	NA
ggimage	0.3.4	/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library	NA
ggiraph	0.9.2	/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library	NA
ggnewscale	0.5.2	/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library	NA
ggplot2	4.0.0	/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library	NA
ggplotify	0.1.3	/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library	NA
ggpubr	0.6.2	/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library	NA
ggraph	2.2.2	/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library	NA
ggrepel	0.9.6	/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library	NA
ggridges	0.5.7	/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library	NA
ggsci	4.1.0	/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library	NA
ggsignif	0.6.4	/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library	NA
ggstar	1.0.6	/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library	NA
ggtree	3.14.0	/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library	NA
ggtreeExtra	1.16.0	/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library	NA
gh	1.5.0	/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library	NA
gitcreds	0.1.2	/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library	NA
glmnet	4.1-10	/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library	NA
globals	0.18.0	/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library	NA
glue	1.8.0	/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library	NA
googledrive	2.1.2	/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library	NA
googlesheets4	1.1.2	/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library	NA
gplots	3.2.0	/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library	NA
grDevices	4.4.2	/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library	base
graphics	4.4.2	/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library	base
graphlayouts	1.2.2	/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library	NA
grid	4.4.2	/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library	base
gridExtra	2.3	/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library	NA
gridGraphics	0.5-1	/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library	NA
gtable	0.3.6	/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library	NA
gtools	3.9.5	/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library	NA
haven	2.5.5	/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library	NA
highr	0.11	/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library	NA
hms	1.1.4	/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library	NA
hrbrthemes	0.8.7	/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library	NA
htmlTable	2.4.3	/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library	NA
htmltools	0.5.8.1	/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library	NA
