species	marine_binary	aquaticity_score_sum_0_18	aquatic_v1_status	aquatic_v2_status	aquatic_v3_status	legacy_marine2	legacy_aquatic2	aquatic_trait_source	aquatic_scoring_scheme	aquatic_score_range
Manis_pentadactyla	0	0	0	0	0	0	0	TY_NK_final_18pt	3+3+3+5+4	0-18
Manis_tricuspis	0	0	0	0	0	0	0	TY_NK_final_18pt	3+3+3+5+4	0-18
Marmota_monax	0	0	0	0	0	0	0	TY_NK_final_18pt	3+3+3+5+4	0-18
Martes_zibellina	0	0	0	0	0	0	0	TY_NK_final_18pt	3+3+3+5+4	0-18
Mastomys_coucha	0	0	0	0	0	0	0	TY_NK_final_18pt	3+3+3+5+4	0-18
Megaderma_lyra	0	0	0	0	0	0	0	TY_NK_final_18pt	3+3+3+5+4	0-18
Megaptera_novaeangliae	1	18	1	1	1	1	1	TY_NK_final_18pt	3+3+3+5+4	0-18
Mellivora_capensis	0	0	0	0	0	0	0	TY_NK_final_18pt	3+3+3+5+4	0-18
Meriones_unguiculatus	0	0	0	0	0	0	0	TY_NK_final_18pt	3+3+3+5+4	0-18
Mesocricetus_auratus	0	0	0	0	0	0	0	TY_NK_final_18pt	3+3+3+5+4	0-18
Mesoplodon_bidens	1	18	1	1	1	1	1	TY_NK_final_18pt	3+3+3+5+4	0-18
Mesoplodon_densirostris	1	18	1	1	1	1	1	TY_NK_final_18pt	3+3+3+5+4	0-18
Mesoplodon_europaeus	1	18	1	1	1	1	1	TY_NK_final_18pt	3+3+3+5+4	0-18
Mesoplodon_stejnegeri	1	18	1	1	1	1	1	TY_NK_final_18pt	3+3+3+5+4	0-18
Microcebus_murinus	0	0	0	0	0	0	0	TY_NK_final_18pt	3+3+3+5+4	0-18
Microtus_agrestis	0	0	0	0	0	0	0	TY_NK_final_18pt	3+3+3+5+4	0-18
Miniopterus_schreibersii	0	0	0	0	0	0	0	TY_NK_final_18pt	3+3+3+5+4	0-18
Mirounga_angustirostris	1	15	1	1	1	1	1	TY_NK_final_18pt	3+3+3+5+4	0-18
Mirounga_leonina	1	15	1	1	1	1	1	TY_NK_final_18pt	3+3+3+5+4	0-18
Mirza_coquereli	0	0	0	0	0	0	0	TY_NK_final_18pt	3+3+3+5+4	0-18
Molossus_molossus	0	0	0	0	0	0	0	TY_NK_final_18pt	3+3+3+5+4	0-18
Monodon_monoceros	1	18	1	1	1	1	1	TY_NK_final_18pt	3+3+3+5+4	0-18
Mormoops_blainvillei	0	0	0	0	0	0	0	TY_NK_final_18pt	3+3+3+5+4	0-18
Moschus_berezovskii	0	0	0	0	0	0	0	TY_NK_final_18pt	3+3+3+5+4	0-18
Moschus_moschiferus	0	0	0	0	0	0	0	TY_NK_final_18pt	3+3+3+5+4	0-18
Mungos_mungo	0	0	0	0	0	0	0	TY_NK_final_18pt	3+3+3+5+4	0-18
Muntiacus_crinifrons	0	0	0	0	0	0	0	TY_NK_final_18pt	3+3+3+5+4	0-18
Muntiacus_muntjak	0	0	0	0	0	0	0	TY_NK_final_18pt	3+3+3+5+4	0-18
Muntiacus_reevesi	0	0	0	0	0	0	0	TY_NK_final_18pt	3+3+3+5+4	0-18
Mus_caroli	0	0	0	0	0	0	0	TY_NK_final_18pt	3+3+3+5+4	0-18
Muscardinus_avellanarius	0	0	0	0	0	0	0	TY_NK_final_18pt	3+3+3+5+4	0-18
Mustela_erminea	0	0	0	0	0	0	0	TY_NK_final_18pt	3+3+3+5+4	0-18
Mustela_putorius_furo	0	0	0	0	0	0	0	TY_NK_final_18pt	3+3+3+5+4	0-18
Myocastor_coypus	0	8	1	1	1	0	1	TY_NK_final_18pt	3+3+3+5+4	0-18
Myodes_glareolus	0	0	0	0	0	0	0	TY_NK_final_18pt	3+3+3+5+4	0-18
Myotis_myotis	0	0	0	0	0	0	0	TY_NK_final_18pt	3+3+3+5+4	0-18
Myrmecophaga_tridactyla	0	0	0	0	0	0	0	TY_NK_final_18pt	3+3+3+5+4	0-18
Nanger_granti	0	0	0	0	0	0	0	TY_NK_final_18pt	3+3+3+5+4	0-18
Nannospalax_galili	0	0	0	0	0	0	0	TY_NK_final_18pt	3+3+3+5+4	0-18
Nasua_narica	0	0	0	0	0	0	0	TY_NK_final_18pt	3+3+3+5+4	0-18
Neofelis_nebulosa	0	0	0	0	0	0	0	TY_NK_final_18pt	3+3+3+5+4	0-18
Neomonachus_schauinslandi	1	15	1	1	1	1	1	TY_NK_final_18pt	3+3+3+5+4	0-18
Neophocaena_asiaeorientalis_asiaeorientalis	1	18	1	1	1	1	1	TY_NK_final_18pt	3+3+3+5+4	0-18
